GPS time   ,date       ,time     ,latitude           ,longitude          ,altitude            ,qx                  ,qy                  ,qz                  ,qw                  ,image,image_url
1417792682,2024-12-09 ,15:17:44 ,28.66498249586208,-81.37680220963169,-2.0020751953125,0.2722334352499563,0.6310395422834423,-0.3016920004734555,0.660802506365117,1733757464533.jpg,https://KShervington.github.io/arcgis-images/images/1733757464533.jpg
1417792683,2024-12-09 ,15:17:45 ,28.66498249254074,-81.37680220771456,-2.002075188793242,0.2721893813813191,0.6310680037542876,-0.3017683238140572,0.6607586732511028,1733757465535.jpg,https://KShervington.github.io/arcgis-images/images/1733757465535.jpg
1417792684,2024-12-09 ,15:17:46 ,28.66498247760398,-81.37680217784104,-1.9680786058306687,0.2722701992682196,0.6311489406573206,-0.3016769608237504,0.6606897599959899,1733757466534.jpg,https://KShervington.github.io/arcgis-images/images/1733757466534.jpg
1417792685,2024-12-09 ,15:17:47 ,28.664982462667,-81.37680217784094,-1.969085686840117,0.2722382966890371,0.631236355962978,-0.3016890155241454,0.6606139934672415,1733757467542.jpg,https://KShervington.github.io/arcgis-images/images/1733757467542.jpg
1417792686,2024-12-09 ,15:17:48 ,28.664982462666902,-81.37680214796667,-1.9712829515337944,0.272134510310003,0.6313287533894797,-0.3017964306521752,0.6605193654786101,1733757468535.jpg,https://KShervington.github.io/arcgis-images/images/1733757468535.jpg
1417792687,2024-12-09 ,15:17:49 ,28.664982447729543,-81.3768021479665,-1.974517815746367,0.2720360703620391,0.6312917148524675,-0.3016507596439175,0.6606617893992879,1733757469536.jpg,https://KShervington.github.io/arcgis-images/images/1733757469536.jpg
1417792688,2024-12-09 ,15:17:50 ,28.664982447729408,-81.37680214796633,-1.974517815746367,0.2719832579025601,0.6313229876946685,-0.3016805540984261,0.6606399962578604,1733757470535.jpg,https://KShervington.github.io/arcgis-images/images/1733757470535.jpg
1417792689,2024-12-09 ,15:17:51 ,28.66498241125209,-81.37680210123314,-1.974517815746367,0.2719829098382912,0.6312811096128258,-0.3016357010262424,0.6607006521572347,1733757471561.jpg,https://KShervington.github.io/arcgis-images/images/1733757471561.jpg
1417792690,2024-12-09 ,15:17:52 ,28.66498236112995,-81.37680203701878,-1.974517815746367,0.2740873573877168,0.6311590681767656,-0.3016079150505868,0.6599598586743908,1733757472562.jpg,https://KShervington.github.io/arcgis-images/images/1733757472562.jpg
1417792691,2024-12-09 ,15:17:53 ,28.6649807781822,-81.37680336936162,-1.985900872386992,0.290329474146432,0.6239382813345391,-0.3161782100596819,0.6530245546367613,1733757473559.jpg,https://KShervington.github.io/arcgis-images/images/1733757473559.jpg
1417792692,2024-12-09 ,15:17:54 ,28.664980097700568,-81.37680949650833,-2.151245110668242,0.3396037790951964,0.5978312555611702,-0.3671863278450618,0.6264513251543954,1733757474554.jpg,https://KShervington.github.io/arcgis-images/images/1733757474554.jpg
1417792693,2024-12-09 ,15:17:55 ,28.66499218310105,-81.37683620635306,-2.335265907458961,0.413726731647875,0.5509463152719818,-0.4421977455975845,0.5742382647121717,1733757475579.jpg,https://KShervington.github.io/arcgis-images/images/1733757475579.jpg
1417792694,2024-12-09 ,15:17:56 ,28.66500432920596,-81.37684422586392,-2.3507077740505338,0.4914328664549632,0.4865618508470142,-0.5197496883418261,0.5016090038936987,1733757476576.jpg,https://KShervington.github.io/arcgis-images/images/1733757476576.jpg
1417792695,2024-12-09 ,15:17:57 ,28.6650182144988,-81.3768499740103,-2.3990476159378886,0.5617759376700181,0.4025592366970483,-0.5943391019916334,0.4112359592124117,1733757477570.jpg,https://KShervington.github.io/arcgis-images/images/1733757477570.jpg
1417792696,2024-12-09 ,15:17:58 ,28.66503712358996,-81.37684796278053,-2.5209042616188526,0.621052708409656,0.3026812756450351,-0.6549571853412073,0.3061187107203189,1733757478569.jpg,https://KShervington.github.io/arcgis-images/images/1733757478569.jpg
1417792697,2024-12-09 ,15:17:59 ,28.665052200655573,-81.3768393227338,-2.65502901840955,0.6610722220308473,0.203920937921836,-0.6941415961990987,0.1989148395341861,1733757479574.jpg,https://KShervington.github.io/arcgis-images/images/1733757479574.jpg
1417792698,2024-12-09 ,15:18:00 ,28.665064491745014,-81.37683078668299,-2.6520993318408728,0.6795139622958363,0.1333347018182607,-0.7114792027538536,0.1194986259148322,1733757480589.jpg,https://KShervington.github.io/arcgis-images/images/1733757480589.jpg
1417792699,2024-12-09 ,15:18:01 ,28.66504887121609,-81.37683774352202,-2.652099603787065,0.687474714741497,0.0867846265349953,-0.7178814647220638,0.0670304895450815,1733757481594.jpg,https://KShervington.github.io/arcgis-images/images/1733757481594.jpg
1417792700,2024-12-09 ,15:18:02 ,28.66508068450271,-81.37682648312911,-2.628326282836497,0.6912493063571341,0.0652143017259125,-0.7185588077689712,0.0399344220345582,1733757482587.jpg,https://KShervington.github.io/arcgis-images/images/1733757482587.jpg
1417792701,2024-12-09 ,15:18:03 ,28.66508576130341,-81.37682581828203,-2.6832579830661416,0.6909157422083163,0.0642044955039095,-0.7192485158882999,0.0345656083377787,1733757483592.jpg,https://KShervington.github.io/arcgis-images/images/1733757483592.jpg
1417792702,2024-12-09 ,15:18:04 ,28.66510158380339,-81.37682619400206,-2.603515464812517,0.6914855928661202,0.0779748227658277,-0.7165997477037755,0.0474598190448997,1733757484601.jpg,https://KShervington.github.io/arcgis-images/images/1733757484601.jpg
1417792703,2024-12-09 ,15:18:05 ,28.66514091679448,-81.37686886258048,-0.30259520560503,0.6881730273660167,0.113515614538286,-0.7117549632137576,0.0832882602379931,1733757485622.jpg,https://KShervington.github.io/arcgis-images/images/1733757485622.jpg
1417792704,2024-12-09 ,15:18:06 ,28.665160516445933,-81.37688267696353,-0.402546220459044,0.6740610731483845,0.1747307513523104,-0.7022526161919406,0.1481626487987969,1733757486620.jpg,https://KShervington.github.io/arcgis-images/images/1733757486620.jpg
1417792705,2024-12-09 ,15:18:07 ,28.66517638461336,-81.3769023224561,-0.3185898624360561,0.6459623160778823,0.2614538948984506,-0.6759555651616734,0.2397055083292528,1733757487619.jpg,https://KShervington.github.io/arcgis-images/images/1733757487619.jpg
